,l_ratio,c_ratio,train_score,train_score_std,val_score,val_score_std
0,0.0,0.001,0.7827556432299653,0.004701597284358362,0.771213475297887,0.008805367515096162
1,0.0,0.01,0.8387903632601645,0.0014909704284131115,0.7877554409205856,0.004712011513974509
2,0.0,0.1,0.8688150951867964,0.0014858521023663573,0.790264801097506,0.00803992759010043
3,0.0,0.5,0.8768890098949778,0.004313198745610152,0.7932473140157897,0.01280565759940463
4,0.0,1.0,0.8795600712647197,0.005006202689923931,0.7908216241393268,0.014414174578127905
5,0.0,5.0,0.8828095478772416,0.0044202361138686065,0.7880010134951652,0.014605868631308486
6,0.0,10.0,0.8839159442524677,0.004248749998943122,0.7870689603900372,0.014447348228722384
7,0.2,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
8,0.2,0.01,0.7879009878375698,0.0045127794425782,0.7744149281712029,0.01001539768045913
9,0.2,0.1,0.8611351846187283,0.0026319528581054525,0.7912069288493397,0.008756774578490282
10,0.2,0.5,0.8748786751098752,0.004712697800768828,0.790963210079024,0.011976014024153936
11,0.2,1.0,0.8782112430908171,0.004335533483328632,0.7908848478281859,0.0147490812170655
12,0.2,5.0,0.8832178664558296,0.003983406879900996,0.7889381827103921,0.01258719962611511
13,0.2,10.0,0.8837590294684794,0.004356606560396347,0.7877173515470244,0.01421110445485052
14,0.5,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
15,0.5,0.01,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
16,0.5,0.1,0.8462389023423732,0.0016938171886621987,0.7925039559178579,0.005820330618260119
17,0.5,0.5,0.8712295769062839,0.0035064170374923516,0.7891671295447782,0.008438342113419492
18,0.5,1.0,0.8760784557923283,0.004537281187238546,0.7910955639081294,0.014218770199250622
19,0.5,5.0,0.8828721385004055,0.00403493787752463,0.7880186606443964,0.014003091761733179
20,0.5,10.0,0.8836582312965329,0.003939500661331739,0.7879836274025906,0.014270066950972306
21,0.8,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
22,0.8,0.01,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
23,0.8,0.1,0.8346744066856946,0.0017515143747045285,0.7883912585483712,0.003175787615319979
24,0.8,0.5,0.8689741196082507,0.003256921792996528,0.7890790299938563,0.006667726640188965
25,0.8,1.0,0.8746953684042434,0.004730452190446545,0.7900151691029829,0.010311271456230713
26,0.8,5.0,0.8822285359303723,0.004016469836937123,0.7878819716677554,0.01432798134201933
27,0.8,10.0,0.8838311201955452,0.004224298452514658,0.7877682799502608,0.01333889858896361
28,1.0,0.001,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
29,1.0,0.01,0.7606974828963324,0.00020367740842801684,0.7606978647232882,0.0008136723372138199
30,1.0,0.1,0.8286295349281685,0.004800959207010421,0.7881188363723332,0.008915336587214127
31,1.0,0.5,0.8673057837566747,0.0030173625661739935,0.7895204646040673,0.00683574776410754
32,1.0,1.0,0.8739846684970676,0.004222021914985798,0.7894473524744366,0.010070439875425654
33,1.0,5.0,0.8822978033621339,0.004027687850839872,0.7895176048134003,0.013418800158828124
34,1.0,10.0,0.8833153277089005,0.004214295657014894,0.7871469650052952,0.013725681091717979
